UNIT_CODE,UNIT_NAME,STATE,REGION
AZRU,Aztec Ruins National Monument,NM,IM
CHCU,Chaco Culture National Historical Park,NM,IM
ELMO,El Morro National Monument,NM,IM
PECO,Pecos National Historical Park,NM,IM
PETR,Petroglyph National Monument,NM,IM
WHSA,White Sands National Park,NM,IM
ELMA,El Malpais National Monument,NM,IM
VALL,Valles Caldera National Preserve,NM,IM
MAPR,Manhattan Project National Historical Park,NM,IM
GRBA,Great Basin National Park,NV,PW
TUSK,Tule Springs Fossil Beds National Monument,NV,PW
MAVA,Martin Van Buren National Historic Site,NY,NE
ELRO,Eleanor Roosevelt National Historic Site,NY,NE
SAPA,Saint Paul's Church National Historic Site,NY,NE
THRI,Theodore Roosevelt Inaugural National Historic Site,NY,NE
FOST,Fort Stanwix National Monument,NY,NE
FIIS,Fire Island National Seashore,NY,NE
HOFR,Home of Franklin D. Roosevelt National Historic Site,NY,NE
VAMA,Vanderbilt Mansion National Historic Site,NY,NE
SARA,Saratoga National Historical Park,NY,NE
THRB,Theodore Roosevelt Birthplace National Historic Site,NY,NE
CACL,Castle Clinton National Monument,NY,NE
FEHA,Federal Hall National Memorial,NY,NE
GEGR,General Grant National Memorial,NY,NE
HAGR,Hamilton Grange National Memorial,NY,NE
SAHI,Sagamore Hill National Historic Site,NY,NE
AFBG,African Burial Ground National Monument,NY,NE
WORI,Women's Rights National Historical Park,NY,NE
UPDE,Upper Delaware Scenic and Recreational River,NY,NE
HART,Harriet Tubman National Historical Park,NY,NE
STON,Stonewall National Monument,NY,NE
CUVA,Cuyahoga Valley National Park,OH,MW
FILA,First Ladies National Historic Site,OH,MW
DAAV,Dayton Aviation Heritage National Historical Park,OH,MW
JAGA,James A. Garfield National Historic Site,OH,MW
HOCU,Hopewell Culture National Historical Park,OH,MW
WIHO,William Howard Taft National Historic Site,OH,MW
CHYO,Charles Young Buffalo Soldiers National Monument,OH,MW
WABA,Washita Battlefield National Historic Site,OK,IM
JODA,John Day Fossil Beds National Monument,OR,PW
CRLA,Crater Lake National Park,OR,PW
ORCA,Oregon Caves National Monument and Preserve,OR,PW
LEWI,Lewis and Clark National Historical Park,OR,PW
FOVA,Fort Vancouver National Historic Site,OR,PW
FLNI,Flight 93 National Memorial,PA,NE
ALPO,Allegheny Portage Railroad National Historic Site,PA,NE
FONE,Fort Necessity National Battlefield,PA,NE
JOFL,Johnstown Flood National Memorial,PA,NE
EDAL,Edgar Allan Poe National Historic Site,PA,NE
FRHI,Friendship Hill National Historic Site,PA,NE
GETT,Gettysburg National Military Park,PA,NE
EISE,Eisenhower National Historic Site,PA,NE
HOFU,Hopewell Furnace National Historic Site,PA,NE
INDE,Independence National Historical Park,PA,NE
THKO,Thaddeus Kosciuszko National Memorial,PA,NE
STEA,Steamtown National Historic Site,PA,NE
VAFO,Valley Forge National Historical Park,PA,NE
ROWI,Roger Williams National Memorial,RI,NE
CONG,Congaree National Park,SC,SE
KIMO,Kings Mountain National Military Park,SC,SE
COWP,Cowpens National Battlefield,SC,SE
NISI,Ninety Six National Historic Site,SC,SE
CHPI,Charles Pinckney National Historic Site,SC,SE
REER,Reconstruction Era National Historical Park,SC,SE
BADL,Badlands National Park,SD,MW
MORU,Mount Rushmore National Memorial,SD,MW
WICA,Wind Cave National Park,SD,MW
JECA,Jewel Cave National Monument,SD,MW
MIMI,Minuteman Missile National Historic Site,SD,MW
ANJO,Andrew Johnson National Historic Site,TN,SE
STRI,Stones River National Battlefield,TN,SE
OBRI,Obed Wild and Scenic River,TN,SE
BITH,Big Thicket National Preserve,TX,IM
AMIS,Amistad National Recreation Area,TX,IM
BIBE,Big Bend National Park,TX,IM
GUMO,Guadalupe Mountains National Park,TX,IM
CHAM,Chamizal National Memorial,TX,IM
FODA,Fort Davis National Historic Site,TX,IM
LYJO,Lyndon B. Johnson National Historical Park,TX,IM
PAIS,Padre Island National Seashore,TX,IM
LAMR,Lake Meredith National Recreation Area,TX,IM
ALFL,Alibates Flint Quarries National Monument,TX,IM
RIGR,Rio Grande Wild and Scenic River,TX,IM
SAAN,San Antonio Missions National Historical Park,TX,IM
PAAL,Palo Alto Battlefield National Historical Park,TX,IM
WACO,Waco Mammoth National Monument,TX,IM
CARE,Capitol Reef National Park,UT,IM
CANY,Canyonlands National Park,UT,IM
ARCH,Arches National Park,UT,IM
NABR,Natural Bridges National Monument,UT,IM
RABR,Rainbow Bridge National Monument,UT,IM
GOSP,Golden Spike National Historical Park,UT,IM
BRCA,Bryce Canyon National Park,UT,IM
CEBR,Cedar Breaks National Monument,UT,IM
ZION,Zion National Park,UT,IM
TICA,Timpanogos Cave National Monument,UT,IM
ARHO,"Arlington House, The Robert E. Lee Memorial",VA,NC
MANA,Manassas National Battlefield Park,VA,NC
PRWI,Prince William Forest Park,VA,NC
WOTR,Wolf Trap National Park for the Performing Arts,VA,NC
APCO,Appomattox Court House National Historical Park,VA,NE
BOWA,Booker T. Washington National Monument,VA,NE
CEBE,Cedar Creek and Belle Grove National Historical Park,VA,NE
COLO,Colonial National Historical Park,VA,NE
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,VA,NE
GEWA,George Washington Birthplace National Monument,VA,NE
PETE,Petersburg National Battlefield,VA,NE
MAWA,Maggie L. Walker National Historic Site,VA,NE
RICH,Richmond National Battlefield Park,VA,NE
SHEN,Shenandoah National Park,VA,NE
FOMR,Fort Monroe National Monument,VA,NE
MABI,Marsh-Billings-Rockefeller National Historical Park,VT,NE
LARO,Lake Roosevelt National Recreation Area,WA,PW
EBLA,Ebey's Landing National Historical Reserve,WA,PW
MORA,Mount Rainier National Park,WA,PW
NOCA,North Cascades National Park,WA,PW
LACH,Lake Chelan National Recreation Area,WA,PW
ROLA,Ross Lake National Recreation Area,WA,PW
OLYM,Olympic National Park,WA,PW
SAJH,San Juan Island National Historical Park,WA,PW
WHMI,Whitman Mission National Historic Site,WA,PW
APIS,Apostle Islands National Lakeshore,WI,MW
IATR,Ice Age National Scenic Trail,WI,MW
BLUE,Bluestone National Scenic River,WV,NE
GARI,Gauley River National Recreation Area,WV,NE
NERI,New River Gorge National Park and Preserve,WV,NE
DETO,Devils Tower National Monument,WY,IM
FOLA,Fort Laramie National Historic Site,WY,IM
GRTE,Grand Teton National Park,WY,IM
JODR,"John D. Rockefeller, Jr., Memorial Parkway",WY,IM
FOBU,Fossil Butte National Monument,WY,IM
